"Total_score"	"Unused_score"	"% Cov"	"% Cov (95)"	"Accession"	"Peptides(95%)"	"Proteome_type"	"Cell_line"	"Treatment"	"Compartment"
3,22	3,22	27,2	11,1	"sp|P36542|ATPG_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
3,21	3,21	19,7	2,2	"sp|P00367|DHE3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,21	3,21	12,8	9,2	"sp|P09012|SNRPA_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,19	3,19	31,5	4,7	"sp|P01903|DRA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,19	3,19	16,1	3,2	"sp|Q9Y2X3|NOP58_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,19	3,16	33,6	5,8	"sp|P51991|ROA3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,16	3,16	30	7,1	"sp|P22695|QCR2_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,12	3,12	15,1	2,2	"sp|Q96PK6|RBM14_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,04	3,04	12,5	3,1	"sp|P40939|ECHA_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,04	3,04	7,2	3,5	"sp|P36776|LONM_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,92	2,92	11,6	1,3	"sp|P43243|MATR3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,91	2,91	38,7	8,1	"sp|P18124|RL7_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,91	2,9	27	11,2	"sp|P50914|RL14_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,89	2,89	15,5	5,1	"sp|P30101|PDIA3_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,8	2,8	11	4,5	"sp|Q14165|MLEC_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,8	2,8	12,2	8,9	"sp|Q00059|TFAM_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,76	2,76	33,5	3,6	"sp|P46781|RS9_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,76	2,76	25,8	5,9	"sp|P51159|RB27A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,73	2,73	19,3	12,6	"sp|P27144|KAD4_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,72	2,72	17,7	3,8	"sp|P62424|RL7A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,69	2,69	35,8	3,5	"sp|Q02878|RL6_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,67	2,67	25,4	0	"sp|O75489|NDUS3_HUMAN"	0	"PSMA3"	"Im9"	"FC"	"N"
2,63	2,63	45,1	5,5	"sp|P84103|SRSF3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
8,74	2,62	39,5	19,6	"sp|P18465|1B57_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
2,62	2,62	16,2	3,4	"sp|O00567|NOP56_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,61	2,61	14,7	2,3	"sp|P08621|RU17_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,59	2,59	15,7	1,3	"sp|Q9BUJ2|HNRL1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,59	2,59	19,1	6,7	"sp|P24534|EF1B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,54	2,54	67,7	6,6	"sp|P16401|H15_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,5	2,5	7,5	2,9	"sp|Q9H0S4|DDX47_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,48	2,48	8,2	2,7	"sp|P50213|IDH3A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,4	2,4	40,7	6,2	"sp|P39019|RS19_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,38	2,38	13,3	0	"sp|P55084|ECHB_HUMAN"	0	"PSMA3"	"Im9"	"FC"	"N"
2,33	2,33	24	6,4	"sp|P46782|RS5_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,29	2,29	4,2	1,3	"sp|Q15393|SF3B3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,29	2,29	4,5	3,2	"sp|P07237|PDIA1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,23	2,23	3,8	2,3	"sp|P26599|PTBP1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,21	2,21	19,4	9,1	"sp|P30050|RL12_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,22	2,18	19,4	8,5	"sp|P04440|DPB1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,17	2,17	33	5	"sp|Q9Y6M9|NDUB9_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,16	2,16	7,4	3	"sp|P13010|XRCC5_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
3,78	2,13	2,5	2,5	"sp|O60732|MAGC1_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"N"
2,07	2,07	13,2	2,6	"sp|P54886|P5CS_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
2,07	2,06	5,8	3,5	"sp|Q15306|IRF4_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,06	2,06	9,9	1,3	"sp|Q9H0A0|NAT10_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,04	2,04	8,7	1,3	"sp|Q12906|ILF3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2,02	2,02	26,1	4	"sp|Q9H9B4|SFXN1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2	2	13	6,5	"sp|P13073|COX41_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
2	2	4,9	4,9	"sp|Q9BVC6|TM109_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,96	1,96	9,2	1,2	"sp|O60264|SMCA5_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,96	1,96	36,7	3,3	"sp|P14678|RSMB_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,96	1,96	20,7	6,2	"sp|P61254|RL26_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,96	1,93	10,7	4,4	"sp|Q9BWF3|RBM4_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,93	1,93	34,9	7,9	"sp|P62318|SMD3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,9	1,9	15	2	"sp|Q5SSJ5|HP1B3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,86	1,86	19	10,6	"sp|P69905|HBA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
11,02	1,85	38,3	17,5	"sp|P12236|ADT3_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"N"
1,85	1,85	23,6	8,5	"sp|P46783|RS10_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,84	1,84	7,5	1,5	"sp|O43143|DHX15_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,83	1,83	26,2	6,4	"sp|O96000|NDUBA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,82	1,82	13,9	1,3	"sp|P09874|PARP1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,8	1,8	8	4	"sp|Q15005|SPCS2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,8	1,8	13,5	13,5	"sp|Q07812|BAX_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
1,8	1,77	12,1	6,8	"sp|P51149|RAB7A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,76	1,76	10,3	1,9	"sp|P04844|RPN2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,74	1,74	5,9	3,3	"sp|P49961|ENTP1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,73	1,73	22,5	2,5	"sp|Q15233|NONO_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,73	1,73	9,8	4,3	"sp|Q15717|ELAV1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,71	1,71	26,2	4,6	"sp|P08574|CY1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,69	1,69	19,7	5,7	"sp|P32970|CD70_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,68	1,68	7,4	1,7	"sp|P35241|RADI_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,68	1,68	8,1	2,3	"sp|O43837|IDH3B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,68	1,68	12,4	12,4	"sp|Q9NX24|NHP2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,67	1,67	4	0,4	"sp|O75643|U520_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
4,01	1,66	25,7	3,2	"sp|Q92841|DDX17_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
1,66	1,66	21,7	0	"sp|P20700|LMNB1_HUMAN"	0	"PSMA3"	"Im9"	"FC"	"N"
1,66	1,66	10,7	1,6	"sp|Q9Y5B9|SP16H_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,66	1,64	8,5	1,9	"sp|Q86UX7|URP2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,64	1,64	12	4,1	"sp|P15880|RS2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
8,34	1,61	54,8	34,9	"sp|P33778|H2B1B_HUMAN"	7	"PSMA3"	"Im9"	"FC"	"N"
1,59	1,59	14,6	4	"sp|P31930|QCR1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,57	1,57	5,3	2	"sp|Q9H0D6|XRN2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,55	1,55	11,8	5	"sp|P06734|FCER2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,55	1,55	13,8	13,8	"sp|P56134|ATPK_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,52	1,52	10,1	1,4	"sp|P13796|PLSL_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,52	1,52	11,9	8,8	"sp|P00403|COX2_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
1,52	1,51	6,3	3,7	"sp|Q01844|EWS_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,51	1,51	5,9	3,1	"sp|P24539|AT5F1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,49	1,49	17,9	1,4	"sp|Q9Y2W1|TR150_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,49	1,49	9,9	2	"sp|P49748|ACADV_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,49	1,49	4,8	1	"sp|Q14974|IMB1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,49	1,49	7,9	1,8	"sp|O94826|TOM70_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,48	1,48	3	3	"sp|O96008|TOM40_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,47	1,47	4,2	4,2	"sp|P04899|GNAI2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,46	1,46	12,4	1,9	"sp|O14979|HNRDL_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,46	1,46	3,2	1	"sp|P35606|COPB2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
4,65	1,45	57,8	18	"sp|Q71UI9|H2AV_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"N"
1,45	1,44	32,5	5,7	"sp|P83731|RL24_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,44	1,44	15,9	15,9	"sp|O14949|QCR8_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,42	1,42	11,9	4,5	"sp|Q15363|TMED2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
3,55	1,41	30,4	3,5	"sp|P42167|LAP2B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,41	1,4	2,7	0,8	"sp|P16615|AT2A2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,38	1,38	12,8	5,8	"sp|O14950|ML12B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,38	1,37	1,8	1,2	"sp|Q9NQC3|RTN4_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
1,36	1,36	24,7	3,7	"sp|P23396|RS3_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"N"
34,8	34,8	69,9	60,5	"sp|P63261|ACTG_HUMAN"	34	"PSMA3"	"Im9"	"FC"	"C"
26,05	26,05	71	54,9	"sp|P25788|PSA3_HUMAN"	23	"PSMA3"	"Im9"	"FC"	"C"
20,43	20,43	63,1	33,1	"sp|P07437|TBB5_HUMAN"	10	"PSMA3"	"Im9"	"FC"	"C"
19,13	19,13	33,1	9,1	"sp|P35579|MYH9_HUMAN"	11	"PSMA3"	"Im9"	"FC"	"C"
15,56	15,56	45,9	29,9	"sp|Q71U36|TBA1A_HUMAN"	9	"PSMA3"	"Im9"	"FC"	"C"
10,07	10,07	30,7	19,7	"sp|P01892|1A02_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"C"
9,31	9,31	18,3	18,3	"sp|P43358|MAGA4_HUMAN"	6	"PSMA3"	"Im9"	"FC"	"C"
8	8	48,9	20,7	"sp|P13760|2B14_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"C"
8	8	46	27,6	"sp|Q9UL46|PSME2_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"C"
7,08	7,08	23,5	6,4	"sp|P08238|HS90B_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"C"
6,45	6,45	33,2	9,6	"sp|P26641|EF1G_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"C"
6,23	6,23	8,8	1,8	"sp|P21333|FLNA_HUMAN"	3	"PSMA3"	"Im9"	"FC"	"C"
15,56	6	41,7	30,1	"sp|P68366|TBA4A_HUMAN"	9	"PSMA3"	"Im9"	"FC"	"C"
5,76	5,76	26,5	8,3	"sp|P13796|PLSL_HUMAN"	4	"PSMA3"	"Im9"	"FC"	"C"
5,56	5,56	32,7	16,9	"sp|P68104|EF1A1_HUMAN"	5	"PSMA3"	"Im9"	"FC"	"C"
4,03	4,03	17,1	13,2	"sp|P04792|HSPB1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3,96	3,96	12,3	3,5	"sp|P35606|COPB2_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3,96	3,92	7,6	7,6	"sp|P62834|RAP1A_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3,85	3,85	8	4,1	"sp|P11940|PABP1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3,82	3,82	8,2	4,1	"sp|P20591|MX1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3,75	3,75	14,7	4,3	"sp|P61978|HNRPK_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
3	3	12,8	7,6	"sp|P60842|IF4A1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
2,94	2,94	14,8	10,5	"sp|P16152|CBR1_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
2,8	2,8	11,2	6	"sp|P08670|VIME_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
2,56	2,56	5,7	1,3	"sp|O43707|ACTN4_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,11	2,11	26,8	4,9	"sp|Q16658|FSCN1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,05	2,05	17,4	4,1	"sp|P52597|HNRPF_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,03	2,03	15,8	6,7	"sp|P01903|DRA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,02	2,02	11,3	1,7	"sp|Q14974|IMB1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,02	2,02	4,6	1,6	"sp|P55060|XPO2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,02	2,02	10,4	5	"sp|Q96C19|EFHD2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,01	2,01	26,9	2,5	"sp|P11142|HSP7C_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2,01	2,01	11,5	2,7	"sp|Q00839|HNRPU_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
32,44	2	69,9	60,5	"sp|P60709|ACTB_HUMAN"	34	"PSMA3"	"Im9"	"FC"	"C"
2	2	6,2	1,7	"sp|Q5T6F2|UBAP2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	5,2	1,2	"sp|P55884|EIF3B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	15,1	5,2	"sp|Q86YS6|RAB43_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	14,2	9	"sp|P67809|YBOX1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	4,5	2,6	"sp|Q9P1U1|ARP3B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	2,6	1,5	"sp|Q8N163|CCAR2_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	21,1	10,6	"sp|P69905|HBA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	3,8	2	"sp|P50990|TCPQ_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	7	4,3	"sp|P09651|ROA1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
2	2	4,4	4,4	"sp|P08865|RSSA_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,8	1,8	4,5	0,5	"sp|Q8TCU6|PREX1_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,74	1,74	12,8	2,3	"sp|P12956|XRCC6_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,69	1,69	12,4	6,7	"sp|P32970|CD70_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,68	1,68	18,7	2,8	"sp|Q86YZ3|HORN_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,66	1,66	22	5	"sp|Q15907|RB11B_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,55	1,55	10,8	6,4	"sp|P46782|RS5_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
1,45	1,45	16,9	12,2	"sp|O14950|ML12B_HUMAN"	2	"PSMA3"	"Im9"	"FC"	"C"
1,38	1,38	11,6	4,8	"sp|P51149|RAB7A_HUMAN"	1	"PSMA3"	"Im9"	"FC"	"C"
39	39	25,5	7,9	"sp|Q13813|SPTN1_HUMAN"	16	"PSMA3"	"Im9"	"K"	"N"
31,46	31,46	23,7	8,5	"sp|Q01082|SPTB2_HUMAN"	13	"PSMA3"	"Im9"	"K"	"N"
30,47	30,47	71,7	61,1	"sp|P63261|ACTG_HUMAN"	31	"PSMA3"	"Im9"	"K"	"N"
27,69	27,69	27,9	9,9	"sp|P35579|MYH9_HUMAN"	13	"PSMA3"	"Im9"	"K"	"N"
24,65	24,65	64	41,1	"sp|P09651|ROA1_HUMAN"	14	"PSMA3"	"Im9"	"K"	"N"
23,16	23,16	16,9	2,6	"sp|P78527|PRKDC_HUMAN"	9	"PSMA3"	"Im9"	"K"	"N"
20,63	20,63	44,7	23,9	"sp|P25705|ATPA_HUMAN"	11	"PSMA3"	"Im9"	"K"	"N"
20,57	20,57	43,3	31,2	"sp|P06576|ATPB_HUMAN"	12	"PSMA3"	"Im9"	"K"	"N"
20,47	20,47	49,8	40	"sp|P25788|PSA3_HUMAN"	17	"PSMA3"	"Im9"	"K"	"N"
20,08	20,08	29,1	16,7	"sp|P08238|HS90B_HUMAN"	9	"PSMA3"	"Im9"	"K"	"N"
19,55	19,55	49,6	38,9	"sp|P01892|1A02_HUMAN"	11	"PSMA3"	"Im9"	"K"	"N"
19,39	19,39	28,7	11,5	"sp|Q7KZF4|SND1_HUMAN"	8	"PSMA3"	"Im9"	"K"	"N"
17,65	17,65	20,6	8	"sp|Q08211|DHX9_HUMAN"	8	"PSMA3"	"Im9"	"K"	"N"
17,58	17,58	37,2	29,6	"sp|P61978|HNRPK_HUMAN"	10	"PSMA3"	"Im9"	"K"	"N"
17,4	17,4	36,4	20,9	"sp|P04843|RPN1_HUMAN"	9	"PSMA3"	"Im9"	"K"	"N"
16,29	16,29	58,3	42,4	"sp|P21796|VDAC1_HUMAN"	8	"PSMA3"	"Im9"	"K"	"N"
19,65	15,86	61,2	39,4	"sp|P22626|ROA2_HUMAN"	11	"PSMA3"	"Im9"	"K"	"N"
14,62	14,62	50,2	32,4	"sp|Q99623|PHB2_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
14,48	14,48	36,2	22,8	"sp|P05141|ADT2_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
14,42	14,42	37,2	20,1	"sp|P10809|CH60_HUMAN"	10	"PSMA3"	"Im9"	"K"	"N"
13,86	13,86	42,9	12,4	"sp|P11142|HSP7C_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
12,59	12,59	51,5	35,4	"sp|Q93077|H2A1C_HUMAN"	8	"PSMA3"	"Im9"	"K"	"N"
12,3	12,3	39,6	11,9	"sp|P17844|DDX5_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
12,11	12,11	9	1,6	"sp|Q6P2Q9|PRP8_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
12,05	12,05	66	46,6	"sp|P62805|H4_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
11,85	11,85	27,4	18,6	"sp|P27824|CALX_HUMAN"	8	"PSMA3"	"Im9"	"K"	"N"
11,77	11,77	17,7	10,1	"sp|Q00839|HNRPU_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
12,13	11,58	23,2	7,6	"sp|P14625|ENPL_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
11,54	11,54	26,8	10,6	"sp|P19338|NUCL_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
11,8	11,52	43,4	28,3	"sp|P35232|PHB_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
11,49	11,49	27,4	11,5	"sp|P23246|SFPQ_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
11,49	11,49	20,8	14,9	"sp|P38646|GRP75_HUMAN"	9	"PSMA3"	"Im9"	"K"	"N"
11,4	11,4	65,1	38,1	"sp|Q99877|H2B1N_HUMAN"	13	"PSMA3"	"Im9"	"K"	"N"
10,93	10,93	14,5	3,2	"sp|P42704|LPPRC_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
12,85	10,71	23,4	11,8	"sp|Q12931|TRAP1_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
10,08	10,08	21,5	10,8	"sp|P39656|OST48_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
10	10	36,5	27,1	"sp|P13760|2B14_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
9,9	9,9	38,6	15,3	"sp|P22087|FBRL_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
9,69	9,69	22,3	9,9	"sp|P13796|PLSL_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
9,57	9,57	30,7	10,5	"sp|P38159|RBMX_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
9,46	9,46	27,4	11,5	"sp|P52272|HNRPM_HUMAN"	6	"PSMA3"	"Im9"	"K"	"N"
9,4	9,4	21	11,9	"sp|Q13838|DX39B_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
8,93	8,93	35,7	15,5	"sp|Q71U36|TBA1A_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
8,72	8,72	27,8	14,6	"sp|P14866|HNRPL_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
8,65	8,65	18,3	12,1	"sp|P26641|EF1G_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
8,64	8,64	19,1	3,2	"sp|O75533|SF3B1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
8,58	8,58	19,7	7,3	"sp|Q9NR30|DDX21_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
8,3	8,3	32,4	12,2	"sp|P06734|FCER2_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
8,3	8,3	27,5	12,1	"sp|Q15084|PDIA6_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
8,13	8,13	14,9	11,9	"sp|P26599|PTBP1_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,91	7,91	36,3	14	"sp|P31943|HNRH1_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,89	7,89	21,5	7	"sp|O43390|HNRPR_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,69	7,69	48	8,9	"sp|Q07955|SRSF1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
7,63	7,63	20,4	8,2	"sp|P11940|PABP1_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,61	7,61	19,2	8	"sp|Q08945|SSRP1_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,51	7,51	14,3	2,7	"sp|P53621|COPA_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
7,43	7,43	15,3	3,1	"sp|B0I1T2|MYO1G_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
7,39	7,39	23,2	5	"sp|Q5VTE0|EF1A3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
9,81	7,36	24,6	7,6	"sp|P11021|GRP78_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
9,35	7,29	52,1	14,8	"sp|P51991|ROA3_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
7,09	7,09	25,2	18,5	"sp|P01903|DRA_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
8,74	7,05	32	20,1	"sp|P45880|VDAC2_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
7,02	7,02	35,2	21,2	"sp|P32970|CD70_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,85	6,85	27,5	9,9	"sp|P08670|VIME_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
6,83	6,83	18,7	7,3	"sp|P38919|IF4A3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
6,74	6,74	7,5	3,4	"sp|P46977|STT3A_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,73	6,73	31,4	9,5	"sp|O75489|NDUS3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
6,72	6,72	23	5,8	"sp|P49411|EFTU_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,43	6,43	9,8	3,9	"sp|Q9H0A0|NAT10_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,38	6,38	32	19,1	"sp|P06748|NPM_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
6,34	6,34	9,4	3,9	"sp|Q15393|SF3B3_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,29	6,29	21,6	4,9	"sp|P54886|P5CS_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
